Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2012/04/23,AMZN,AMZN,S,CBOE,18620
2012/04/24,AMZN,AMZN,S,CBOE,19191
2012/04/25,AMZN,AMZN,S,CBOE,25404
2012/04/26,AMZN,AMZN,S,CBOE,77809
2012/04/27,AMZN,AMZN,S,CBOE,155189
2012/04/30,AMZN,AMZN,S,CBOE,54715
2012/05/01,AMZN,AMZN,S,CBOE,33803
2012/05/02,AMZN,AMZN,S,CBOE,28430
2012/05/03,AMZN,AMZN,S,CBOE,30847
2012/05/04,AMZN,AMZN,S,CBOE,35091
2012/05/07,AMZN,AMZN,S,CBOE,16288
2012/05/08,AMZN,AMZN,S,CBOE,27899
2012/05/09,AMZN,AMZN,S,CBOE,20496
2012/05/10,AMZN,AMZN,S,CBOE,25421
2012/05/11,AMZN,AMZN,S,CBOE,26007
2012/05/14,AMZN,AMZN,S,CBOE,17541
2012/05/15,AMZN,AMZN,S,CBOE,29947
2012/05/16,AMZN,AMZN,S,CBOE,25363
2012/05/17,AMZN,AMZN,S,CBOE,28387
2012/05/18,AMZN,AMZN,S,CBOE,34822
2012/05/21,AMZN,AMZN,S,CBOE,16967
2012/05/22,AMZN,AMZN,S,CBOE,20383
2012/05/23,AMZN,AMZN,S,CBOE,19560
2012/05/24,AMZN,AMZN,S,CBOE,16474
2012/05/25,AMZN,AMZN,S,CBOE,16490
2012/05/29,AMZN,AMZN,S,CBOE,14895
2012/05/30,AMZN,AMZN,S,CBOE,17071
2012/05/31,AMZN,AMZN,S,CBOE,26076
2012/06/01,AMZN,AMZN,S,CBOE,20616
2012/06/04,AMZN,AMZN,S,CBOE,17843
2012/06/05,AMZN,AMZN,S,CBOE,13803
2012/06/06,AMZN,AMZN,S,CBOE,12934
2012/06/07,AMZN,AMZN,S,CBOE,15661
2012/06/08,AMZN,AMZN,S,CBOE,15192
2012/06/11,AMZN,AMZN,S,CBOE,17960
2012/06/12,AMZN,AMZN,S,CBOE,12418
2012/06/13,AMZN,AMZN,S,CBOE,9230
2012/06/14,AMZN,AMZN,S,CBOE,12931
2012/06/15,AMZN,AMZN,S,CBOE,18174
2012/06/18,AMZN,AMZN,S,CBOE,17188
2012/06/19,AMZN,AMZN,S,CBOE,9678
2012/06/20,AMZN,AMZN,S,CBOE,11510
2012/06/21,AMZN,AMZN,S,CBOE,16588
2012/06/22,AMZN,AMZN,S,CBOE,13814
2012/06/25,AMZN,AMZN,S,CBOE,9921
2012/06/26,AMZN,AMZN,S,CBOE,20222
2012/06/27,AMZN,AMZN,S,CBOE,10886
2012/06/28,AMZN,AMZN,S,CBOE,12967
2012/06/29,AMZN,AMZN,S,CBOE,20195
2012/07/02,AMZN,AMZN,S,CBOE,11127
2012/07/03,AMZN,AMZN,S,CBOE,7156
2012/07/05,AMZN,AMZN,S,CBOE,17365
2012/07/06,AMZN,AMZN,S,CBOE,18694
2012/07/09,AMZN,AMZN,S,CBOE,8603
2012/07/10,AMZN,AMZN,S,CBOE,17287
2012/07/11,AMZN,AMZN,S,CBOE,14962
2012/07/12,AMZN,AMZN,S,CBOE,14847
2012/07/13,AMZN,AMZN,S,CBOE,17384
2012/07/16,AMZN,AMZN,S,CBOE,11178
2012/07/17,AMZN,AMZN,S,CBOE,10075
2012/07/18,AMZN,AMZN,S,CBOE,11451
2012/07/19,AMZN,AMZN,S,CBOE,32461
2012/07/20,AMZN,AMZN,S,CBOE,26867
2012/07/23,AMZN,AMZN,S,CBOE,12465
2012/07/24,AMZN,AMZN,S,CBOE,10844
2012/07/25,AMZN,AMZN,S,CBOE,21117
2012/07/26,AMZN,AMZN,S,CBOE,55949
2012/07/27,AMZN,AMZN,S,CBOE,78512
2012/07/30,AMZN,AMZN,S,CBOE,18289
2012/07/31,AMZN,AMZN,S,CBOE,11124
2012/08/01,AMZN,AMZN,S,CBOE,9928
2012/08/02,AMZN,AMZN,S,CBOE,14565
2012/08/03,AMZN,AMZN,S,CBOE,20083
2012/08/06,AMZN,AMZN,S,CBOE,8000
2012/08/07,AMZN,AMZN,S,CBOE,13364
2012/08/08,AMZN,AMZN,S,CBOE,9691
2012/08/09,AMZN,AMZN,S,CBOE,7787
2012/08/10,AMZN,AMZN,S,CBOE,10460
2012/08/13,AMZN,AMZN,S,CBOE,9518
2012/08/14,AMZN,AMZN,S,CBOE,15339
2012/08/15,AMZN,AMZN,S,CBOE,16245
2012/08/16,AMZN,AMZN,S,CBOE,30163
2012/08/17,AMZN,AMZN,S,CBOE,17883
2012/08/20,AMZN,AMZN,S,CBOE,17856
2012/08/21,AMZN,AMZN,S,CBOE,14614
